"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jan-2024","2.910083402","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Dec-2023",".560805356","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Nov-2023","-.244704581","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Oct-2023","7.398683475","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Sep-2023","1.875987197","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Aug-2023","-1.687853796","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jul-2023","4.397896746","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Jun-2023",".455972686","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-May-2023","2.066156941","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Apr-2023","-.05030705","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Mar-2023","-1.022177668","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","28-Feb-2023","-7.952887936","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jan-2023","-3.602659105","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Dec-2022","-2.831306999","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Nov-2022","-1.237325202","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Oct-2022","10.74895269","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","30-Sep-2022","-3.630434673","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Aug-2022","1.231039788","Percent","Normal",""
"Nominal/Real Effective Exchange Rates Indices of Pak Rupees","TS_GP_ER_REERNEER_M.R00020","Change in REER","31-Jul-2022","-.897186609","Percent","Normal",""
