"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2020","827.26","847.81","849.68","823.66","","-2.51%"
"03/31/2020","848.58","832.26","852.29","832.26","","1.99%"
"03/30/2020","832.02","840.63","840.63","828.16","","-1.25%"
"03/27/2020","842.54","855.94","865.93","840.02","","-1.03%"
"03/26/2020","851.28","836.94","853.34","833.12","","1.76%"
"03/25/2020","836.54","804.68","842.23","804.68","","4.35%"
"03/24/2020","801.66","759.26","805.84","759.26","","5.73%"
"03/23/2020","758.20","798.41","798.41","754.80","","-5.61%"
"03/20/2020","803.23","770.11","811.44","769.53","","4.80%"
"03/19/2020","766.41","786.83","789.03","751.76","","-2.72%"
"03/18/2020","787.81","827.94","832.18","777.46","","-4.70%"
"03/17/2020","826.68","829.00","834.43","817.01","","-0.78%"
"03/16/2020","833.18","891.97","893.71","831.14","","-6.51%"
"03/13/2020","891.19","881.84","897.53","843.06","","0.91%"
"03/12/2020","883.13","943.21","943.24","878.66","","-6.71%"
"03/11/2020","946.62","967.06","967.06","940.74","","-1.86%"
"03/10/2020","964.55","948.00","966.77","945.58","","1.75%"
"03/09/2020","947.92","1,005.35","1,005.35","947.92","","-6.34%"
"03/06/2020","1,012.08","1,037.10","1,037.10","1,009.39","","-2.62%"
"03/05/2020","1,039.34","1,037.55","1,048.80","1,035.17","","0.15%"
"03/04/2020","1,037.81","1,027.78","1,038.50","1,026.38","","0.97%"
"03/03/2020","1,027.82","1,020.98","1,034.19","1,020.98","","1.06%"
"03/02/2020","1,017.03","1,006.69","1,021.96","1,002.14","","1.14%"
"02/28/2020","1,005.52","1,030.42","1,030.42","998.59","","-2.44%"
"02/27/2020","1,030.67","1,042.65","1,043.62","1,029.41","","-1.21%"
"02/26/2020","1,043.31","1,055.60","1,055.60","1,042.10","","-1.25%"
"02/25/2020","1,056.54","1,055.95","1,061.56","1,054.95","","0.12%"
"02/24/2020","1,055.32","1,080.75","1,080.75","1,053.54","","-2.67%"
"02/21/2020","1,084.22","1,092.43","1,093.70","1,080.97","","-1.01%"
"02/20/2020","1,095.32","1,104.02","1,104.89","1,091.93","","-0.76%"
"02/19/2020","1,103.69","1,096.15","1,103.69","1,094.01","","0.73%"
"02/18/2020","1,095.66","1,106.82","1,106.82","1,093.43","","-1.11%"
"02/17/2020","1,107.99","1,106.00","1,109.66","1,103.94","","0.15%"
"02/14/2020","1,106.30","1,105.15","1,109.75","1,104.29","","0.02%"
"02/13/2020","1,106.07","1,109.99","1,112.73","1,104.79","","-0.33%"
"02/12/2020","1,109.70","1,099.29","1,110.48","1,098.68","","0.94%"
"02/11/2020","1,099.41","1,087.41","1,101.30","1,087.41","","1.15%"
"02/10/2020","1,086.93","1,088.46","1,089.34","1,082.77","","-0.43%"
"02/07/2020","1,091.64","1,101.05","1,101.05","1,088.91","","-0.98%"
"02/06/2020","1,102.39","1,092.19","1,105.32","1,092.19","","1.19%"
"02/05/2020","1,089.40","1,086.08","1,095.96","1,085.08","","0.37%"
"02/04/2020","1,085.39","1,060.85","1,087.39","1,060.79","","2.36%"
"02/03/2020","1,060.32","1,059.92","1,062.54","1,050.66","","-0.19%"
"01/31/2020","1,062.34","1,074.00","1,080.34","1,059.74","","-0.97%"
"01/30/2020","1,072.79","1,096.42","1,096.50","1,067.87","","-2.25%"
"01/29/2020","1,097.51","1,102.96","1,103.91","1,095.38","","-0.38%"
"01/28/2020","1,101.72","1,100.38","1,102.64","1,094.40","","-0.11%"
"01/27/2020","1,102.98","1,117.73","1,117.74","1,100.60","","-1.47%"
"01/24/2020","1,119.39","1,122.34","1,124.97","1,117.41","","-0.25%"
"01/23/2020","1,122.19","1,133.38","1,133.38","1,118.76","","-0.99%"
"01/22/2020","1,133.40","1,125.77","1,135.58","1,125.31","","0.58%"
"01/21/2020","1,126.85","1,145.13","1,145.63","1,125.64","","-1.64%"
"01/20/2020","1,145.68","1,147.26","1,150.91","1,144.78","","-0.10%"
"01/17/2020","1,146.83","1,140.65","1,146.85","1,139.79","","0.54%"
"01/16/2020","1,140.62","1,137.42","1,141.29","1,136.33","","0.23%"
"01/15/2020","1,137.98","1,143.45","1,143.70","1,137.22","","-0.51%"
"01/14/2020","1,143.86","1,145.13","1,149.54","1,141.69","","-0.01%"
"01/13/2020","1,144.00","1,132.91","1,144.95","1,132.68","","0.91%"
"01/10/2020","1,133.63","1,128.77","1,135.91","1,127.94","","0.38%"
"01/09/2020","1,129.37","1,113.84","1,130.17","1,113.84","","1.62%"
"01/08/2020","1,111.40","1,115.58","1,115.58","1,107.42","","-0.40%"
"01/07/2020","1,115.84","1,113.04","1,118.85","1,113.04","","0.30%"
"01/06/2020","1,112.53","1,121.15","1,121.15","1,110.27","","-1.01%"
"01/03/2020","1,123.87","1,128.59","1,133.86","1,122.79","","-0.37%"
"01/02/2020","1,128.01","1,115.77","1,128.45","1,114.54","","1.20%"
"01/01/2020","1,114.64","1,115.30","1,115.43","1,114.64","","0.00%"
"12/31/2019","1,114.66","1,117.19","1,117.69","1,114.66","","-0.34%"
"12/30/2019","1,118.42","1,118.46","1,121.78","1,117.59","","-0.02%"
"12/27/2019","1,118.61","1,111.74","1,120.28","1,111.26","","0.59%"
"12/26/2019","1,112.08","1,109.72","1,112.34","1,108.98","","0.27%"
"12/25/2019","1,109.14","1,109.11","1,110.16","1,108.89","","0.01%"
"12/24/2019","1,109.07","1,111.11","1,111.26","1,108.63","","-0.23%"
"12/23/2019","1,111.64","1,107.65","1,111.64","1,106.41","","0.36%"
"12/20/2019","1,107.64","1,107.07","1,108.55","1,104.75","","0.09%"
"12/19/2019","1,106.63","1,108.98","1,109.59","1,103.91","","-0.23%"
"12/18/2019","1,109.18","1,102.62","1,109.18","1,101.38","","0.60%"
"12/17/2019","1,102.61","1,089.75","1,102.63","1,089.50","","1.35%"
"12/16/2019","1,087.96","1,086.38","1,091.09","1,085.49","","0.10%"
"12/13/2019","1,086.91","1,074.68","1,090.19","1,074.68","","1.51%"
"12/12/2019","1,070.71","1,060.14","1,074.49","1,060.14","","1.18%"
"12/11/2019","1,058.23","1,049.91","1,059.69","1,049.32","","0.83%"
"12/10/2019","1,049.50","1,051.10","1,051.49","1,048.03","","-0.15%"
"12/09/2019","1,051.11","1,051.24","1,053.45","1,050.61","","0.20%"
"12/06/2019","1,048.96","1,044.25","1,050.47","1,044.25","","0.59%"
"12/05/2019","1,042.85","1,037.51","1,044.20","1,037.40","","0.61%"
"12/04/2019","1,036.57","1,036.74","1,037.84","1,031.13","","-0.08%"
"12/03/2019","1,037.38","1,039.83","1,040.35","1,033.48","","-0.27%"
"12/02/2019","1,040.22","1,040.08","1,044.24","1,038.91","","0.02%"
"11/29/2019","1,040.05","1,052.04","1,052.48","1,038.67","","-0.98%"
"11/28/2019","1,050.39","1,052.61","1,052.61","1,049.77","","-0.24%"
"11/27/2019","1,052.93","1,049.34","1,053.37","1,048.32","","0.49%"
"11/26/2019","1,047.84","1,053.98","1,058.44","1,046.17","","-0.53%"
"11/25/2019","1,053.47","1,047.96","1,054.26","1,047.96","","0.47%"
"11/22/2019","1,048.55","1,045.48","1,048.55","1,044.20","","0.38%"
"11/21/2019","1,044.58","1,051.92","1,051.92","1,041.70","","-0.71%"
"11/20/2019","1,052.00","1,056.91","1,056.97","1,050.59","","-0.49%"
"11/19/2019","1,057.16","1,050.78","1,058.64","1,048.23","","0.48%"
"11/18/2019","1,052.12","1,049.05","1,054.34","1,048.27","","0.32%"
"11/15/2019","1,048.79","1,043.09","1,049.40","1,042.66","","0.63%"
"11/14/2019","1,042.25","1,043.75","1,044.43","1,039.56","","-0.15%"
"11/13/2019","1,043.83","1,054.04","1,054.04","1,041.52","","-1.14%"
"11/12/2019","1,055.83","1,052.87","1,059.08","1,052.83","","0.28%"
"11/11/2019","1,052.88","1,063.72","1,063.82","1,049.99","","-1.12%"
"11/08/2019","1,064.85","1,074.93","1,075.56","1,063.08","","-0.81%"
"11/07/2019","1,073.57","1,067.47","1,075.62","1,064.17","","0.44%"
"11/06/2019","1,068.87","1,071.37","1,071.94","1,066.67","","-0.22%"
"11/05/2019","1,071.22","1,063.57","1,071.78","1,063.14","","0.63%"
"11/04/2019","1,064.55","1,049.37","1,064.56","1,049.37","","1.46%"
"11/01/2019","1,049.19","1,040.59","1,050.57","1,040.07","","0.69%"
"10/31/2019","1,041.98","1,043.37","1,048.27","1,039.27","","0.05%"
"10/30/2019","1,041.50","1,043.14","1,043.14","1,038.56","","-0.21%"
"10/29/2019","1,043.73","1,043.16","1,045.06","1,041.53","","0.07%"
"10/28/2019","1,042.97","1,036.80","1,043.71","1,036.61","","0.69%"
"10/25/2019","1,035.84","1,036.76","1,037.80","1,033.91","","-0.15%"
"10/24/2019","1,037.41","1,032.92","1,037.41","1,031.49","","0.63%"
"10/23/2019","1,030.95","1,034.24","1,034.24","1,028.54","","-0.30%"
"10/22/2019","1,034.08","1,029.75","1,034.96","1,029.74","","0.54%"
"10/21/2019","1,028.51","1,025.53","1,029.16","1,024.87","","0.44%"
"10/18/2019","1,024.02","1,028.93","1,030.86","1,024.02","","-0.42%"
"10/17/2019","1,028.39","1,025.00","1,031.07","1,023.97","","0.42%"
"10/16/2019","1,024.08","1,019.93","1,025.10","1,018.29","","0.47%"
"10/15/2019","1,019.25","1,017.19","1,020.26","1,016.31","","0.18%"
"10/14/2019","1,017.45","1,014.13","1,021.22","1,013.92","","0.58%"
"10/11/2019","1,011.54","998.93","1,015.77","998.68","","1.51%"
"10/10/2019","996.50","992.59","999.01","989.84","","0.35%"
"10/09/2019","993.01","991.69","993.97","989.41","","-0.09%"
"10/08/2019","993.95","993.71","1,000.45","992.39","","-0.02%"
"10/07/2019","994.16","997.42","998.12","993.05","","-0.24%"
"10/04/2019","996.58","993.40","997.52","992.27","","0.43%"
"10/03/2019","992.28","988.15","993.19","986.43","","0.31%"
"10/02/2019","989.20","997.70","997.70","988.75","","-0.93%"
"10/01/2019","998.48","1,000.99","1,003.49","997.05","","-0.25%"
"09/30/2019","1,001.00","1,000.39","1,002.70","998.91","","-0.05%"
"09/27/2019","1,001.50","1,009.11","1,009.11","998.97","","-0.77%"
"09/26/2019","1,009.30","1,006.57","1,010.46","1,006.26","","0.37%"
"09/25/2019","1,005.56","1,011.29","1,011.29","1,000.56","","-0.57%"
"09/24/2019","1,011.35","1,015.42","1,016.23","1,010.48","","-0.38%"
"09/23/2019","1,015.23","1,020.56","1,021.40","1,014.12","","-0.59%"
"09/20/2019","1,021.27","1,015.20","1,022.31","1,015.01","","0.46%"
"09/19/2019","1,016.57","1,021.15","1,022.34","1,015.17","","-0.47%"
"09/18/2019","1,021.36","1,020.69","1,022.60","1,018.75","","0.24%"
"09/17/2019","1,018.93","1,026.44","1,026.44","1,015.60","","-0.79%"
"09/16/2019","1,027.08","1,026.79","1,027.08","1,021.62","","0.05%"
"09/13/2019","1,026.61","1,023.99","1,029.38","1,023.94","","0.42%"
"09/12/2019","1,022.33","1,018.97","1,026.44","1,018.19","","0.52%"
"09/11/2019","1,017.04","1,009.58","1,017.70","1,008.87","","0.88%"
"09/10/2019","1,008.13","1,010.68","1,012.03","1,005.18","","-0.24%"
"09/09/2019","1,010.58","1,008.44","1,012.09","1,008.27","","0.26%"
"09/06/2019","1,007.96","1,003.57","1,009.72","1,003.07","","0.49%"
"09/05/2019","1,003.01","992.58","1,004.46","992.25","","1.25%"
"09/04/2019","990.61","974.08","992.14","974.00","","1.78%"
"09/03/2019","973.27","981.54","982.38","973.27","","-1.07%"
"09/02/2019","983.76","983.09","984.55","981.73","","-0.06%"
"08/30/2019","984.33","971.80","984.33","971.80","","1.47%"
"08/29/2019","970.08","965.00","971.75","960.71","","0.49%"
"08/28/2019","965.35","965.49","968.28","962.01","","0.08%"
"08/27/2019","964.59","961.48","966.96","961.39","","0.39%"
"08/26/2019","960.81","969.29","969.29","956.59","","-1.32%"
"08/23/2019","973.66","975.00","979.52","970.21","","-0.20%"
"08/22/2019","975.66","984.19","985.19","974.45","","-0.76%"
