DATE,NAEXKP01INQ652S
1996-04-01,7902844507578.511
1996-07-01,7941487893638.08
1996-10-01,8067406073852.261
1997-01-01,8128102180303.16
1997-04-01,8161415070933.68
1997-07-01,8258767055371.0
1997-10-01,8390977995115.431
1998-01-01,8527757228945.84
1998-04-01,8639533629368.26
1998-07-01,8796319257817.77
1998-10-01,8911613452911.84
1999-01-01,9056351715324.559
1999-04-01,9290207690755.88
1999-07-01,9405901347210.57
1999-10-01,9561170231214.021
2000-01-01,9761909582763.29
2000-04-01,9775079044579.14
2000-07-01,9904862119653.95
2000-10-01,9909011337390.5
2001-01-01,9962585531797.309
2001-04-01,10169944037381.5
2001-07-01,10295731904810.8
2001-10-01,10532109899195.3
2002-01-01,10617114237456.1
2002-04-01,10683339733491.898
2002-07-01,10746752084485.898
2002-10-01,10755160454268.3
2003-01-01,10997269301370.9
2003-04-01,11275852038083.299
2003-07-01,11572645197198.602
2003-10-01,11952599099869.2
2004-01-01,11996165203444.5
2004-04-01,12281454837703.602
2004-07-01,12575919608785.1
2004-10-01,12819466473841.1
2005-01-01,13043931623154.0
2005-04-01,13457019763906.0
2005-07-01,13644262823431.8
2005-10-01,13989177109682.7
2006-01-01,14339686142104.9
2006-04-01,14545658699459.8
2006-07-01,15026101352132.3
2006-10-01,15283241202597.0
2007-01-01,15710162623284.201
2007-04-01,16106082043548.6
2007-07-01,16395101917377.299
2007-10-01,16948745543676.502
2008-01-01,17051438501335.0
2008-04-01,17229431952015.398
2008-07-01,17379369325332.002
2008-10-01,17400671663535.5
2009-01-01,17079431372971.299
2009-04-01,18070662991133.7
2009-07-01,18532166935401.0
2009-10-01,18926295709327.9
2010-01-01,19418413288664.7
2010-04-01,19884953202210.5
2010-07-01,20472748723120.4
2010-10-01,20947934845450.1
2011-01-01,21331416246933.7
2011-04-01,21589877440028.7
2011-07-01,21589046542321.5
2011-10-01,21940709279717.8
2012-01-01,22243662827932.1
2012-04-01,22501233230037.0
2012-07-01,22904904642717.8
2012-10-01,23176755579753.7
2013-01-01,23547290507491.402
2013-04-01,23877851300311.7
2013-07-01,24260164326338.703
2013-10-01,24794159502048.0
2014-01-01,25081526281301.7
2014-04-01,25655807993615.3
2014-07-01,26124230767325.5
2014-10-01,26524964918022.402
2015-01-01,26971721711036.8
2015-04-01,27549388820993.402
2015-07-01,28058012307257.7
2015-10-01,28628298928016.098
2016-01-01,29459209833732.8
2016-04-01,29983851606610.3
2016-07-01,30670952330371.8
2016-10-01,31089255939173.5
2017-01-01,31337875393844.4
2017-04-01,31983023015083.703
2017-07-01,32510154096563.6
2017-10-01,33120849222579.703
2018-01-01,33831791425773.1
2018-04-01,34274692209475.6
2018-07-01,34754270167704.9
2018-10-01,35268153343945.1
2019-01-01,35632043708874.4
2019-04-01,36148775407087.3
2019-07-01,36350421159296.3
2019-10-01,36405074223058.9
2020-01-01,36442135740557.5
2020-04-01,28224557834869.0
2020-07-01,34591763144752.797
2020-10-01,36774547111689.305
2021-01-01,37280310178688.9
2021-04-01,34479841444276.703
2021-07-01,37699509908661.6
2021-10-01,38444426313128.9
2022-01-01,38634625983932.8
2022-04-01,39000023229542.2
2022-07-01,39773226207990.0
2022-10-01,40227034436860.9
2023-01-01,41063970395607.0
2023-04-01,41839053264226.1
2023-07-01,42565439700864.195
