DATE,NGDPRSAXDCIDQ
2000-01-01,1012908500.0
2000-04-01,1007085100.0
2000-07-01,1031621800.0
2000-10-01,1061287200.0
2001-01-01,1053724500.0
2001-04-01,1064503000.0
2001-07-01,1064723800.0
2001-10-01,1079803500.0
2002-01-01,1092967400.0
2002-04-01,1107016700.0
2002-07-01,1121225600.0
2002-10-01,1133346900.0
2003-01-01,1148138300.0
2003-04-01,1161156600.0
2003-07-01,1173320800.0
2003-10-01,1184885000.0
2004-01-01,1198807300.0
2004-04-01,1213143900.0
2004-07-01,1227905800.0
2004-10-01,1262459900.0
2005-01-01,1272698700.0
2005-04-01,1287273700.0
2005-07-01,1301458200.0
2005-10-01,1319954100.0
2006-01-01,1337393600.0
2006-04-01,1354469300.0
2006-07-01,1376301900.0
2006-10-01,1398245400.0
2007-01-01,1420985900.0
2007-04-01,1444669500.0
2007-07-01,1467445700.0
2007-10-01,1480154000.0
2008-01-01,1512147100.0
2008-04-01,1535239800.0
2008-07-01,1556563300.0
2008-10-01,1558896800.0
2009-01-01,1580018600.0
2009-04-01,1599727000.0
2009-07-01,1624591800.0
2009-10-01,1648272300.0
2010-01-01,1675288500.0
2010-04-01,1703382900.0
2010-07-01,1728835300.0
2010-10-01,1756626400.0
2011-01-01,1782068600.0
2011-04-01,1808011000.0
2011-07-01,1835317400.0
2011-10-01,1862238300.0
2012-01-01,1890612100.0
2012-04-01,1918740700.0
2012-07-01,1945478800.0
2012-10-01,1972251800.0
2013-01-01,1999939200.0
2013-04-01,2025743300.0
2013-07-01,2052386800.0
2013-10-01,2078428500.0
2014-01-01,2102947900.0
2014-04-01,2129161100.0
2014-07-01,2154060500.0
2014-10-01,2178697000.0
2015-01-01,2205361500.0
2015-04-01,2230747800.0
2015-07-01,2258528600.0
2015-10-01,2287879200.0
2016-01-01,2315313200.0
2016-04-01,2344505700.0
2016-07-01,2373155200.0
2016-10-01,2401639300.0
2017-01-01,2431860900.0
2017-04-01,2462298600.0
2017-07-01,2493389600.0
2017-10-01,2525379000.0
2018-01-01,2557814900.0
2018-04-01,2589795600.0
2018-07-01,2622592100.0
2018-10-01,2655649300.0
2019-01-01,2688425300.0
2019-04-01,2722301700.0
2019-07-01,2754814200.0
2019-10-01,2783614300.0
2020-01-01,2766140700.0
2020-04-01,2575438600.0
2020-07-01,2659723900.0
2020-10-01,2721696100.0
2021-01-01,2750214800.0
2021-04-01,2759176500.0
2021-07-01,2760563200.0
2021-10-01,2850123400.0
2022-01-01,2879256800.0
2022-04-01,2905425400.0
2022-07-01,2928636800.0
2022-10-01,2997078800.0
2023-01-01,3022174500.0
2023-04-01,3048358900.0
2023-07-01,3073027100.0
