DATE,NGDPRNSAXDCRUQ
2003-01-01,12950180.3
2003-04-01,13906392.6
2003-07-01,15267819.4
2003-10-01,15661990.5
2004-01-01,13887920.9
2004-04-01,15023017.4
2004-07-01,16386062.5
2004-10-01,16636103.4
2005-01-01,14662320.9
2005-04-01,15926496.8
2005-07-01,17362799.1
2005-10-01,17930458.0
2006-01-01,15732316.0
2006-04-01,17213634.4
2006-07-01,18784969.7
2006-10-01,19522804.8
2007-01-01,17001893.4
2007-04-01,18697133.9
2007-07-01,20320179.7
2007-10-01,21316080.4
2008-01-01,18561951.1
2008-04-01,20174458.8
2008-07-01,21623120.0
2008-10-01,21034277.5
2009-01-01,16853925.4
2009-04-01,17924747.4
2009-07-01,19759490.0
2009-10-01,20489928.5
2010-01-01,17539759.2
2010-04-01,18821023.4
2010-07-01,20515540.3
2010-10-01,21530827.7
2011-01-01,18440083.5
2011-04-01,19714798.4
2011-07-01,20978424.1
2011-10-01,22617264.0
2012-01-01,19492308.1
2012-04-01,20672447.0
2012-07-01,21711575.0
2012-10-01,23163953.4
2013-01-01,19712530.6
2013-04-01,21028103.8
2013-07-01,22039092.5
2013-10-01,23753372.5
2014-01-01,19703122.1
2014-04-01,21144808.3
2014-07-01,22348664.2
2014-10-01,23973619.7
2015-01-01,19401740.8
2015-04-01,20490951.6
2015-07-01,21967999.0
2015-10-01,23589899.3
2016-01-01,19361687.2
2016-04-01,20556723.3
2016-07-01,21980855.0
2016-10-01,23716818.3
2017-01-01,19615838.6
2017-04-01,21038528.1
2017-07-01,22560998.1
2017-10-01,23963905.4
2018-01-01,20118490.2
2018-04-01,21612600.3
2018-07-01,23155326.3
2018-10-01,24740189.5
2019-01-01,20371665.0
2019-04-01,21871243.7
2019-07-01,23760155.2
2019-10-01,25445635.7
2020-01-01,20651935.4
2020-04-01,20163790.4
2020-07-01,22938537.8
2020-10-01,24995534.6
2021-01-01,20514819.3
2021-04-01,22275450.4
2021-07-01,23913478.8
