DATE,NGDPRSAXDCTRQ
1998-01-01,192563.39864859
1998-04-01,191029.5484498
1998-07-01,188341.61962815
1998-10-01,187854.4021763
1999-01-01,184687.51468267
1999-04-01,183646.40222679
1999-07-01,180548.98884736
1999-10-01,185942.74597804
2000-01-01,188871.06787223
2000-04-01,196224.51805068
2000-07-01,199146.92201615
2000-10-01,202007.93323408
2001-01-01,191654.76481842
2001-04-01,182370.93381647
2001-07-01,184653.82722596
2001-10-01,181546.29486113
2002-01-01,188404.35599991
2002-04-01,196536.67073141
2002-07-01,199222.28149867
2002-10-01,203472.95841523
2003-01-01,203643.06322808
2003-04-01,204327.96979066
2003-07-01,210153.79421806
2003-10-01,216506.77089895
2004-01-01,222469.9800736
2004-04-01,227649.75060225
2004-07-01,230217.02633429
2004-10-01,233952.26230602
2005-01-01,244737.34839168
2005-04-01,245770.53027652
2005-07-01,249240.73953168
2005-10-01,257482.64264795
2006-01-01,260431.16205019
2006-04-01,268364.21322203
2006-07-01,266342.12615674
2006-10-01,272358.0303962
2007-01-01,277323.33653856
2007-04-01,277408.01864986
2007-07-01,279034.72428722
2007-10-01,288612.86763593
2008-01-01,294692.47505167
2008-04-01,284235.02197304
2008-07-01,279070.84143898
2008-10-01,271982.35392052
2009-01-01,256577.22015884
2009-04-01,266858.26458995
2009-07-01,273251.55109717
2009-10-01,278586.39742543
2010-01-01,277764.58138685
2010-04-01,288321.60576005
2010-07-01,296310.13769456
2010-10-01,305268.15431355
2011-01-01,312148.46555151
2011-04-01,320725.34022562
2011-07-01,329252.92395691
2011-10-01,333721.91317498
2012-01-01,330752.54329175
2012-04-01,336466.38233968
2012-07-01,342404.32039543
2012-10-01,347892.69131668
2013-01-01,358085.54929037
2013-04-01,368598.13948244
2013-07-01,374001.70029887
2013-10-01,374726.62582499
2014-01-01,385597.7287448
2014-04-01,379341.76709845
2014-07-01,388666.68732362
2014-10-01,393904.20175452
2015-01-01,401351.94443835
2015-04-01,407467.62263983
2015-07-01,413178.33795439
2015-10-01,417999.57898362
2016-01-01,419510.80629591
2016-04-01,425513.52943175
2016-07-01,413311.19087289
2016-10-01,436083.03237275
2017-01-01,442052.42150426
2017-04-01,452132.62607301
2017-07-01,458986.58845741
2017-10-01,467628.20954601
2018-01-01,473554.40593266
2018-04-01,476341.26806865
2018-07-01,471762.91323855
2018-10-01,455491.86728947
2019-01-01,462611.99940615
2019-04-01,473119.06180121
2019-07-01,475630.22914268
2019-10-01,481981.21293824
2020-01-01,482834.83217473
2020-04-01,431107.10324167
2020-07-01,501859.01887293
2020-10-01,509212.80595217
2021-01-01,519569.91976656
2021-04-01,528466.16565155
2021-07-01,547741.98387016
2021-10-01,556324.87220636
2022-01-01,557508.36391657
2022-04-01,565393.756875
2022-07-01,568459.35928344
2022-10-01,574988.36025626
2023-01-01,573538.8256138
2023-04-01,592502.50981777
2023-07-01,594117.25402529
